,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Ldlrad4,0,1.137330011,0.888,0.357,0,M-MDSC,Ldlrad4
Aplp2,0,1.133240758,0.955,0.396,0,M-MDSC,Aplp2
Patj,0,1.131868784,0.592,0.046,0,M-MDSC,Patj
Ctsc,0,1.127855198,0.978,0.479,0,M-MDSC,Ctsc
Snx24,0,1.126704198,0.798,0.252,0,M-MDSC,Snx24
Idh1,0,1.126031671,0.845,0.215,0,M-MDSC,Idh1
Plin2,0,1.123083659,0.986,0.534,0,M-MDSC,Plin2
Bzw2,0,1.122457982,0.758,0.165,0,M-MDSC,Bzw2
Sh3bgrl2,0,1.122027961,0.619,0.042,0,M-MDSC,Sh3bgrl2
Net1,0,1.112781036,0.755,0.101,0,M-MDSC,Net1
Sirpa,0,1.110875034,0.983,0.652,0,M-MDSC,Sirpa
Ltc4s,0,1.110094298,0.909,0.249,0,M-MDSC,Ltc4s
Frmd4a,0,1.106521006,0.766,0.15,0,M-MDSC,Frmd4a
Tmcc31,0,1.099263381,0.901,0.301,0,M-MDSC,Tmcc3
Ncoa4,0,1.085574492,0.847,0.229,0,M-MDSC,Ncoa4
Rassf4,0,1.081847491,0.801,0.199,0,M-MDSC,Rassf4
Ccdc88a1,0,1.080299497,0.836,0.274,0,M-MDSC,Ccdc88a
Rexo2,0,1.079582182,0.836,0.255,0,M-MDSC,Rexo2
Kcnn3,0,1.077718763,0.625,0.038,0,M-MDSC,Kcnn3
Map3k5,0,1.076556524,0.954,0.573,0,M-MDSC,Map3k5
Mcemp1,0,1.076150461,0.95,0.364,0,M-MDSC,Mcemp1
mt-Nd2,0,1.075370105,0.966,0.503,0,M-MDSC,mt-Nd2
Colgalt1,0,1.074780754,0.919,0.328,0,M-MDSC,Colgalt1
Eepd1,0,1.067823619,0.873,0.307,0,M-MDSC,Eepd1
Glul,0,1.062480545,0.867,0.26,0,M-MDSC,Glul
Wdfy3,0,1.055129706,0.928,0.421,0,M-MDSC,Wdfy3
Ddhd1,0,1.052009436,0.856,0.301,0,M-MDSC,Ddhd1
Gpr137b,0,1.051790273,0.866,0.268,0,M-MDSC,Gpr137b
Laptm5,0,1.050714274,0.991,0.746,0,M-MDSC,Laptm5
Anxa5,0,1.049975596,0.96,0.406,0,M-MDSC,Anxa5
Colec12,0,1.046845323,0.417,0.058,0,M-MDSC,Colec12
Slc16a10,0,1.035743131,0.758,0.213,0,M-MDSC,Slc16a10
Adgrl2,0,1.034784399,0.636,0.1,0,M-MDSC,Adgrl2
Evl,0,1.034582712,0.791,0.196,0,M-MDSC,Evl
Pik3r61,0,1.029326395,0.744,0.172,0,M-MDSC,Pik3r6
Egr2,0,1.028065242,0.817,0.258,0,M-MDSC,Egr2
Cyth3,0,1.022935561,0.745,0.198,0,M-MDSC,Cyth3
Slc23a2,0,1.013541034,0.843,0.311,0,M-MDSC,Slc23a2
Fabp4,0,1.012499839,0.523,0.123,0,M-MDSC,Fabp4
Agap1,0,1.01172584,0.909,0.376,0,M-MDSC,Agap1
Mgll,0,1.010547416,0.708,0.077,0,M-MDSC,Mgll
Lmna,0,1.006643905,0.939,0.362,0,M-MDSC,Lmna
Anxa2,0,1.005100564,0.988,0.735,0,M-MDSC,Anxa2
Slc6a6,0,1.004507467,0.957,0.5,0,M-MDSC,Slc6a6
Ciao2a,0,1.002566272,0.881,0.316,0,M-MDSC,Ciao2a
Hipk2,0,1.002549762,0.862,0.382,0,M-MDSC,Hipk2
AU020206,0,1.001227648,0.924,0.344,0,M-MDSC,AU020206
Itpripl2,0,0.996881718,0.818,0.22,0,M-MDSC,Itpripl2
Hvcn1,0,0.995573393,0.802,0.219,0,M-MDSC,Hvcn1
Plscr11,0,0.991617703,0.813,0.229,0,M-MDSC,Plscr1
Unc119,0,0.988688104,0.888,0.262,0,M-MDSC,Unc119
Nrip11,0,0.988206553,0.878,0.353,0,M-MDSC,Nrip1
Reep5,0,0.979675388,0.929,0.405,0,M-MDSC,Reep5
mt-Co3,0,0.976785342,0.998,0.927,0,M-MDSC,mt-Co3
Piezo1,0,0.976069031,0.725,0.209,0,M-MDSC,Piezo1
mt-Nd5,0,0.972057454,0.935,0.42,0,M-MDSC,mt-Nd5
Flvcr2,0,0.969563259,0.576,0.02,0,M-MDSC,Flvcr2
Nus1,0,0.969482666,0.838,0.278,0,M-MDSC,Nus1
S100a1,0,0.969130267,0.827,0.253,0,M-MDSC,S100a1
Akr1b3,0,0.967421951,0.78,0.2,0,M-MDSC,Akr1b3
Pld3,0,0.965009632,0.838,0.228,0,M-MDSC,Pld3
Fcgrt,0,0.963364187,0.797,0.165,0,M-MDSC,Fcgrt
AI504432,0,0.962750441,0.722,0.195,0,M-MDSC,AI504432
Wwox,0,0.961118938,0.793,0.319,0,M-MDSC,Wwox
Adcy3,0,0.961069645,0.623,0.031,0,M-MDSC,Adcy3
Perp,0,0.956806171,0.634,0.034,0,M-MDSC,Perp
Eci2,0,0.955205385,0.765,0.203,0,M-MDSC,Eci2
Myof,0,0.95185162,0.919,0.337,0,M-MDSC,Myof
Diaph2,0,0.950599514,0.963,0.552,0,M-MDSC,Diaph2
Prkch,0,0.947254326,0.867,0.351,0,M-MDSC,Prkch
Atp10a,0,0.946026042,0.681,0.14,0,M-MDSC,Atp10a
Calr,0,0.942555305,0.943,0.455,0,M-MDSC,Calr
Dock4,0,0.942535349,0.923,0.427,0,M-MDSC,Dock4
Kynu1,0,0.935624923,0.687,0.141,0,M-MDSC,Kynu
Ggta11,0,0.932601825,0.778,0.209,0,M-MDSC,Ggta1
mt-Nd3,0,0.931539302,0.931,0.395,0,M-MDSC,mt-Nd3
Sh2d1b1,0,0.929239821,0.692,0.101,0,M-MDSC,Sh2d1b1
Ptms1,0,0.926214323,0.909,0.353,0,M-MDSC,Ptms
Aprt,0,0.925950233,0.958,0.448,0,M-MDSC,Aprt
Canx,0,0.92367111,0.941,0.416,0,M-MDSC,Canx
Flt1,0,0.923471597,0.633,0.058,0,M-MDSC,Flt1
Slc38a6,0,0.922025359,0.713,0.236,0,M-MDSC,Slc38a6
Akr1a1,0,0.921849021,0.955,0.434,0,M-MDSC,Akr1a1
Pstpip2,0,0.915556426,0.84,0.343,0,M-MDSC,Pstpip2
Slamf9,0,0.91108829,0.687,0.121,0,M-MDSC,Slamf9
Cd2,0,0.910176944,0.668,0.09,0,M-MDSC,Cd2
Camk1,0,0.909512,0.797,0.227,0,M-MDSC,Camk1
Dhrs7b,0,0.907109016,0.637,0.104,0,M-MDSC,Dhrs7b
Nme2,0,0.904578871,0.98,0.544,0,M-MDSC,Nme2
Pon2,0,0.902263851,0.874,0.314,0,M-MDSC,Pon2
Tlr2,0,0.902150369,0.948,0.449,0,M-MDSC,Tlr2
Fn1,0,0.900892521,0.955,0.481,0,M-MDSC,Fn1
Agmo,0,0.896002499,0.551,0.093,0,M-MDSC,Agmo
Dstn,0,0.881914661,0.964,0.479,0,M-MDSC,Dstn
Kat6b,0,0.87262035,0.712,0.161,0,M-MDSC,Kat6b
Blvra,0,0.871933697,0.728,0.192,0,M-MDSC,Blvra
Pvt1,0,0.869761751,0.677,0.157,0,M-MDSC,Pvt1
Ndufa4,0,0.864795704,0.866,0.375,0,M-MDSC,Ndufa4
Scp2,0,0.864689914,0.88,0.345,0,M-MDSC,Scp2
Krt19,0,0.864092713,0.756,0.23,0,M-MDSC,Krt19
Nln,0,0.86214098,0.714,0.166,0,M-MDSC,Nln
Qdpr,0,0.858303556,0.712,0.17,0,M-MDSC,Qdpr
Hsp90b1,0,0.856165609,0.955,0.454,0,M-MDSC,Hsp90b1
Sulf2,0,0.855010094,0.691,0.149,0,M-MDSC,Sulf2
Ctnnb1,0,0.850464721,0.892,0.364,0,M-MDSC,Ctnnb1
Tanc2,0,0.84199582,0.607,0.132,0,M-MDSC,Tanc2
Etfb,0,0.841204318,0.85,0.314,0,M-MDSC,Etfb
Gmpr,0,0.836049725,0.582,0.037,0,M-MDSC,Gmpr
Cdk14,0,0.834538925,0.825,0.308,0,M-MDSC,Cdk14
Tnfsf13,0,0.833501232,0.767,0.225,0,M-MDSC,Tnfsf13
Cyb5r3,0,0.832970811,0.791,0.242,0,M-MDSC,Cyb5r3
Ttll5,0,0.831772503,0.556,0.113,0,M-MDSC,Ttll5
Ucp2,0,0.831015307,0.974,0.614,0,M-MDSC,Ucp2
Ywhab,0,0.830169565,0.907,0.404,0,M-MDSC,Ywhab
Card11,0,0.828208217,0.666,0.097,0,M-MDSC,Card11
Sema3e,0,0.823874435,0.455,0.061,0,M-MDSC,Sema3e
Pcyox1,0,0.823828112,0.588,0.102,0,M-MDSC,Pcyox1
Rin2,0,0.818511783,0.748,0.223,0,M-MDSC,Rin2
B4galt1,0,0.810013857,0.941,0.479,0,M-MDSC,B4galt1
Slc25a5,0,0.809456922,0.912,0.407,0,M-MDSC,Slc25a5
Ehbp1,0,0.801416475,0.549,0.102,0,M-MDSC,Ehbp1
Psap,0,0.800744389,0.996,0.725,0,M-MDSC,Psap
Cfb,0,0.79878882,0.646,0.183,0,M-MDSC,Cfb
Acaa1b,0,0.794857051,0.463,0.014,0,M-MDSC,Acaa1b
Dab2,0,0.794187512,0.925,0.352,0,M-MDSC,Dab2
Naip2,0,0.790620248,0.763,0.267,0,M-MDSC,Naip2
Tbca1,0,0.790405818,0.917,0.403,0,M-MDSC,Tbca
Pdlim1,0,0.7903454,0.7,0.187,0,M-MDSC,Pdlim1
Deptor,0,0.786180692,0.571,0.118,0,M-MDSC,Deptor
Ccdc80,0,0.785854971,0.57,0.088,0,M-MDSC,Ccdc80
Ccny,0,0.784512104,0.774,0.29,0,M-MDSC,Ccny
Atp5g3,0,0.776466937,0.855,0.338,0,M-MDSC,Atp5g3
Nck1,0,0.770772879,0.703,0.175,0,M-MDSC,Nck1
Serpinb1a,0,0.770736753,0.579,0.076,0,M-MDSC,Serpinb1a
Syne2,0,0.768792877,0.63,0.115,0,M-MDSC,Syne2
Cib2,0,0.767010754,0.587,0.064,0,M-MDSC,Cib2
Nfia,0,0.757928044,0.773,0.215,0,M-MDSC,Nfia
Cd200r4,0,0.757890987,0.682,0.167,0,M-MDSC,Cd200r4
Bub1b,0,0.757766961,0.528,0.071,0,M-MDSC,Bub1b
Cd9,0,0.751550861,0.999,0.871,0,M-MDSC,Cd9
Fam129a1,0,0.751303306,0.863,0.308,0,M-MDSC,Fam129a
Snx7,0,0.750637956,0.527,0.13,0,M-MDSC,Snx7
Lrp1,0,0.750113744,0.865,0.334,0,M-MDSC,Lrp1
Lpcat3,0,0.748758985,0.698,0.189,0,M-MDSC,Lpcat3
Dram1,0,0.747783279,0.719,0.222,0,M-MDSC,Dram1
Daam1,0,0.747194841,0.66,0.205,0,M-MDSC,Daam1
Abcd2,0,0.745759494,0.605,0.104,0,M-MDSC,Abcd2
Sh3tc1,0,0.744589784,0.616,0.122,0,M-MDSC,Sh3tc1
Gnptab1,0,0.743890897,0.7,0.212,0,M-MDSC,Gnptab
Trf,0,0.740157431,0.959,0.397,0,M-MDSC,Trf
F11r,0,0.73585062,0.596,0.114,0,M-MDSC,F11r
Hsd17b4,0,0.730405572,0.655,0.159,0,M-MDSC,Hsd17b4
Syne1,0,0.72802183,0.747,0.235,0,M-MDSC,Syne1
Pla2g15,0,0.725677266,0.641,0.141,0,M-MDSC,Pla2g15
Dr1,0,0.723941239,0.68,0.189,0,M-MDSC,Dr1
Pros1,0,0.721705729,0.593,0.104,0,M-MDSC,Pros1
Serpinb6a,0,0.721479206,0.797,0.257,0,M-MDSC,Serpinb6a
Acp5,0,0.718440489,0.774,0.232,0,M-MDSC,Acp5
Lrrc58,0,0.717459961,0.795,0.282,0,M-MDSC,Lrrc58
Ubqln1,0,0.714713713,0.678,0.171,0,M-MDSC,Ubqln1
Tmbim1,0,0.71457085,0.673,0.189,0,M-MDSC,Tmbim1
Comt,0,0.706450181,0.725,0.223,0,M-MDSC,Comt
Tns1,0,0.703501474,0.653,0.138,0,M-MDSC,Tns1
Gsto1,0,0.699535253,0.754,0.249,0,M-MDSC,Gsto1
Mtmr7,0,0.699429091,0.624,0.158,0,M-MDSC,Mtmr7
Rhoc,0,0.696653479,0.731,0.229,0,M-MDSC,Rhoc
Angptl4,0,0.696323328,0.484,0.058,0,M-MDSC,Angptl4
Plet1os,0,0.693800738,0.44,0.023,0,M-MDSC,Plet1os
Zfp703,0,0.693120561,0.689,0.218,0,M-MDSC,Zfp703
Clmn,0,0.690046179,0.496,0.05,0,M-MDSC,Clmn
Etfa,0,0.686863479,0.727,0.233,0,M-MDSC,Etfa
Luzp1,0,0.684449144,0.694,0.237,0,M-MDSC,Luzp1
Iqgap1,0,0.684060392,0.992,0.862,0,M-MDSC,Iqgap1
Cenpb,0,0.679814637,0.736,0.248,0,M-MDSC,Cenpb
Cmpk1,0,0.677501833,0.829,0.326,0,M-MDSC,Cmpk1
Dhrs3,0,0.677311509,0.79,0.285,0,M-MDSC,Dhrs3
Cttnbp2nl,0,0.676986738,0.651,0.188,0,M-MDSC,Cttnbp2nl
Trim29,0,0.676117869,0.5,0.021,0,M-MDSC,Trim29
Adrb1,0,0.673804138,0.445,0.019,0,M-MDSC,Adrb1
Mapk3,0,0.672445875,0.746,0.231,0,M-MDSC,Mapk3
Afap1,0,0.664335112,0.537,0.063,0,M-MDSC,Afap1
Asph,0,0.663776393,0.68,0.199,0,M-MDSC,Asph
Gpr155,0,0.660401901,0.434,0.041,0,M-MDSC,Gpr155
Prcp1,0,0.65911313,0.791,0.284,0,M-MDSC,Prcp
Vat1,0,0.655090481,0.712,0.222,0,M-MDSC,Vat1
Dipk1a,0,0.653272284,0.667,0.163,0,M-MDSC,Dipk1a
Wfdc21,0,0.644507451,0.903,0.271,0,M-MDSC,Wfdc21
Ctnnd1,0,0.642483777,0.661,0.187,0,M-MDSC,Ctnnd1
Clec16a,0,0.630676559,0.576,0.133,0,M-MDSC,Clec16a
Serpine1,0,0.625190089,0.68,0.171,0,M-MDSC,Serpine1
Actb1,0,0.624609955,1,0.997,0,M-MDSC,Actb
Hprt,0,0.623930628,0.743,0.27,0,M-MDSC,Hprt
Phgdh,0,0.623907332,0.521,0.085,0,M-MDSC,Phgdh
Pald1,0,0.623520444,0.571,0.105,0,M-MDSC,Pald1
Bhlhe41,0,0.623350317,0.505,0.096,0,M-MDSC,Bhlhe41
Snx1,0,0.619131052,0.634,0.172,0,M-MDSC,Snx1
Lsr,0,0.616842536,0.568,0.1,0,M-MDSC,Lsr
F730043M19Rik,0,0.610224014,0.515,0.118,0,M-MDSC,F730043M19Rik
Clec4a3,0,0.609852102,0.579,0.124,0,M-MDSC,Clec4a3
P2ry10b,0,0.608869257,0.554,0.141,0,M-MDSC,P2ry10b
Acaa1a,0,0.606433888,0.732,0.259,0,M-MDSC,Acaa1a
Itgax,0,0.601025451,0.784,0.257,0,M-MDSC,Itgax
Galnt3,0,0.599463723,0.463,0.055,0,M-MDSC,Galnt3
Cpt1a,0,0.597277624,0.685,0.208,0,M-MDSC,Cpt1a
Casp8,0,0.595403054,0.671,0.208,0,M-MDSC,Casp8
Myo7a,0,0.594658057,0.523,0.09,0,M-MDSC,Myo7a
Ech1,0,0.593366998,0.71,0.238,0,M-MDSC,Ech1
Atxn10,0,0.592929234,0.83,0.318,0,M-MDSC,Atxn10
Pde4dip,0,0.591483068,0.551,0.125,0,M-MDSC,Pde4dip
Prickle2,0,0.587154697,0.351,0.031,0,M-MDSC,Prickle2
Slc39a2,0,0.584566619,0.406,0.026,0,M-MDSC,Slc39a2
Tmsb4x1,0,0.584505684,1,0.999,0,M-MDSC,Tmsb4x
Cdc42ep3,0,0.583997921,0.724,0.21,0,M-MDSC,Cdc42ep3
B3gnt7,0,0.580770584,0.449,0.048,0,M-MDSC,B3gnt7
Spns1,0,0.580374291,0.503,0.096,0,M-MDSC,Spns1
Adam22,0,0.575558997,0.385,0.029,0,M-MDSC,Adam22
Cat,0,0.575338039,0.57,0.139,0,M-MDSC,Cat
Lilra5,0,0.571244054,0.453,0.029,0,M-MDSC,Lilra5
Mical2,0,0.571192235,0.453,0.086,0,M-MDSC,Mical2
Slc29a1,0,0.571118132,0.577,0.154,0,M-MDSC,Slc29a1
Arhgef12,0,0.56562925,0.571,0.149,0,M-MDSC,Arhgef12
Ttyh2,0,0.564607218,0.471,0.085,0,M-MDSC,Ttyh2
Tmem238,0,0.564516057,0.547,0.117,0,M-MDSC,Tmem238
Mrtfb,0,0.554143372,0.518,0.126,0,M-MDSC,Mrtfb
Slco2b1,0,0.551609162,0.4,0.023,0,M-MDSC,Slco2b1
Ppt2,0,0.549274811,0.543,0.134,0,M-MDSC,Ppt2
Ptgfrn,0,0.544627817,0.542,0.105,0,M-MDSC,Ptgfrn
Prune2,0,0.540615191,0.46,0.064,0,M-MDSC,Prune2
Mgat4b,0,0.539072506,0.667,0.203,0,M-MDSC,Mgat4b
Slc25a25,0,0.527688238,0.507,0.115,0,M-MDSC,Slc25a25
Mical31,0,0.518432656,0.442,0.053,0,M-MDSC,Mical3
Qsox1,0,0.515822391,0.561,0.107,0,M-MDSC,Qsox1
Rxra,0,0.515610787,0.483,0.102,0,M-MDSC,Rxra
Amz1,0,0.513454385,0.519,0.106,0,M-MDSC,Amz1
Dtna,0,0.511255707,0.259,0.009,0,M-MDSC,Dtna
Tnfrsf21,0,0.509873199,0.578,0.15,0,M-MDSC,Tnfrsf21
Il20rb,0,0.503879785,0.409,0.054,0,M-MDSC,Il20rb
P2ry14,0,0.499773937,0.663,0.192,0,M-MDSC,P2ry14
Gal,0,0.495239793,0.301,0.012,0,M-MDSC,Gal
Klhl9,0,0.49434601,0.522,0.116,0,M-MDSC,Klhl9
Matn2,0,0.481195389,0.391,0.031,0,M-MDSC,Matn2
Ffar4,0,0.47726724,0.407,0.042,0,M-MDSC,Ffar4
Nr1h3,0,0.476061761,0.409,0.061,0,M-MDSC,Nr1h3
Mcoln3,0,0.474227334,0.397,0.042,0,M-MDSC,Mcoln3
Fpr2,0,0.471623062,0.726,0.16,0,M-MDSC,Fpr2
Tmem64,0,0.461051962,0.423,0.055,0,M-MDSC,Tmem64
Tmem138,0,0.455699064,0.4,0.043,0,M-MDSC,Tmem138
Myo6,0,0.453833884,0.379,0.029,0,M-MDSC,Myo6
Marveld1,0,0.453335359,0.39,0.05,0,M-MDSC,Marveld1
Fam189a2,0,0.451793859,0.329,0.01,0,M-MDSC,Fam189a2
Siglecf,0,0.448233367,0.538,0.07,0,M-MDSC,Siglecf
Celf4,0,0.441615879,0.306,0.024,0,M-MDSC,Celf4
Cpne5,0,0.43690928,0.295,0.019,0,M-MDSC,Cpne5
Gm13571,0,0.435086556,0.322,0.022,0,M-MDSC,Gm13571
Tc2n,0,0.434841236,0.3,0.007,0,M-MDSC,Tc2n
Selenop,0,0.428074731,0.827,0.275,0,M-MDSC,Selenop
Capn1,0,0.42653298,0.632,0.184,0,M-MDSC,Capn1
Vstm2a,0,0.421159171,0.332,0.009,0,M-MDSC,Vstm2a
1190005I06Rik,0,0.398080276,0.319,0.021,0,M-MDSC,1190005I06Rik
Fpr1,0,0.350427589,0.752,0.2,0,M-MDSC,Fpr1
Slc6a4,0,0.320076198,0.264,0.01,0,M-MDSC,Slc6a4
Slc8a11,1.66E-306,0.793103157,0.889,0.367,3.45E-302,M-MDSC,Slc8a1
Hsd3b7,4.88E-306,0.501857116,0.482,0.11,1.02E-301,M-MDSC,Hsd3b7
Fars2,5.30E-305,0.662340004,0.744,0.276,1.10E-300,M-MDSC,Fars2
Rps6ka51,5.94E-305,0.634658219,0.687,0.221,1.24E-300,M-MDSC,Rps6ka5
Zfp608,3.14E-304,0.927224287,0.886,0.433,6.53E-300,M-MDSC,Zfp608
